Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
Super_Model_Clean,Raw_Noisy,Street_5dB,WEIGHTED AVG,0.5580477673935618,0.5046728971962616,0.4861663557082877,0.5046728971962616
Super_Model_Clean,Raw_Noisy,White_-10dB,Anger (W),0.5172413793103449,0.5769230769230769,0.5454545454545454,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Boredom (L),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Disgust (E),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Anxiety/Fear (A),0.15584415584415584,0.8571428571428571,0.26373626373626374,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Happiness (F),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Sadness (T),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,Neutral (N),0.0,0.0,0.0,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,MACRO AVG,0.09615507645064295,0.20486656200941913,0.11559868702725844,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-10dB,WEIGHTED AVG,0.14607564526997335,0.2523364485981308,0.16704790536566236,0.2523364485981308
Super_Model_Clean,Raw_Noisy,White_-5dB,Anger (W),0.0,0.0,0.0,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Boredom (L),0.0,0.0,0.0,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Disgust (E),0.18181818181818182,0.2222222222222222,0.2,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Anxiety/Fear (A),0.14736842105263157,1.0,0.25688073394495414,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Happiness (F),0.0,0.0,0.0,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Sadness (T),0.0,0.0,0.0,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,Neutral (N),0.0,0.0,0.0,0.14953271028037382
Super_Model_Clean,Raw_Noisy,White_-5dB,MACRO AVG,0.04702665755297334,0.17460317460317462,0.06526867627785059,0.14953271028037382
